,account_name,user_name,followed,s_follow,s_follow2
0,,,Twift,フォロー担当者,
1,アカウント名,ユーザー名,フォロー先変更・反映日,"フォロー先
優先",フォロー先
2,宇宙人アルコル खुशी〜ブロック解放・10兆エネルギーワーク・事業相談〜,cosmos_alcor,,UF_dynasty,okage_arigataya
3,アルコルの裏・宇宙空間,alcorcosmos123,,MoonCrusader,
4,宇宙人ピース,CosmoElger,"2023/03/8,radran20,2022/12/17,oki_1192kenko,2022/12/12,LpXk6,2022/10/9,oki_1192kenko,2022/9/19,Kagami_Ryuji,2022/9/15,lilacblueblue,2022/9/8,Takadakavoce",zicocouteikan,
5,宇宙人スーン,heal_Soon,,do_Counselor,oneday_onelife8
6,宇宙人ポジ,CosmosPozi,,manomano_farm,mayumiya_mikako
7,宇宙人リュラェ,CosmosLyrae,"2023/03/8,paya_paya_kun,1/21,hamshigesan,2022/12/12,free_reonlife,2022/11/22,kenkun_jinja,2022/11/14,kunozan_toshogu,2022/9/28,liber_life,2022/8/16,rara_hana_,2022/6/9,rara_hana_,rie61619330",Rkpb_R,
8,宇宙人ナオス,CosmosNaos,"2023/03/7,Kyoto_Ryota_F,2022/11/26,cobraptl,2022/11/14,kamomioyajinja",sai_tabibito,23jinomimizuku
9,宇宙人オリオン,CosmosOrion639,"2023/03/8,sho30_hsshsp,2022/12/12,aki_location,2022/11/30,komadogsan,mi_smile10,2022/10/30,ltVeEtRDoKxHv8w,2022/6/9,ltVeEtRDoKxHv8w",XU3F8wI1Csm5HQ2,
10,宇宙人カフラー,CosmosKafla,"2023/03/8,badassceo,2022/12/12,satoko_blessyou,2022/11/7,PBVcy7GiZoKFi2k,2022/10/30,japan50032175,2022/9/8,saeligood,2022/8/10,kanon_itami_Try,2022/8/7,sayuri825,2022/7/29,NHJcxs4pPIlPX0Q,2022/6/29,NHJcxs4pPIlPX0Q",mj_yzf,
11,宇宙人タロット,TarotCosmos,"2023/03/8,Daisuke_F369,1/11,koshian_chiba,2022/12/28,zenji_nio,2022/12/5,aoejinja,2022/11/14,MuseeMagica,2022/10/21,makiakari,genyu2_,kaedechann3",monkey_across,
12,宇宙人ヨーガ,Yogacosmos,"2022/12/5,seimeijinja,2022/10/21,Minazuki_Rion3,2022/10/13,ritsuuranaishi,2022/9/21,yopei1222,2022/8/28,haruobb,2022/8/16,suyasuyato3,2022/7/27,yamachan_5LC",1055style,gishigaku
13,宇宙人カーム,calm_cosmos,"2023/03/4,aqua_blanca,2/24,WagtailW,2/22,cho_biyouchan,2/13,Yukifunese,1/16,hibiki_spirit,1/11,hibiki_spirit,Yukifunese1/9,kazuma_uranai,2022/12/12,HRenpou,2022/11/30,kobansou85,2022/11/22,startry,2022/11/14,atagojinjya,2022/10/19,dore_official9,2022/10/6,kami_nukenai,_kyunchannel_,2022/9/28,xxJBIebsCrew,2022/6/9,xxJBIebsCrew",manabubannai,kikiiiiy0901
14,宇宙人モク,CosmosMer,"2023/03/7,bear5599,2/13,0417tatuya,1/27,freelife_blog,2022/12/27,jF5dIjRvg85jFIj,2022/12/23,Lucha1151,2022/9/19,Drjinclinic,Satokun35701723",masako_otsuka,
15,宇宙人リード,CosmosRead,"2023/03/8,aya_sinmama",afilasite,
16,宇宙人アルフェ,CosmosAlphe,"2023/03/8,judsan12,2022/11/28,dera3daze,2022/11/14,matsuzakichikai,2022/9/7,tabupan_jp,2022/8/23,fujifujizombi,realogue,2022/8/9,MIKO46250535,2022/8/3,ecchan_kirakira",Psycho_Note,
