"omochi20fire","@omochi20fire","おもち｜20代から始める余生 @omochi20fire 20代で5000万貯めたのでサイドFIREしました｜ホワイト企業リーマンに転職→空き時間に副業でSNS&ブログ→退職→まったり遊んだりたまに働いたりしてます","新卒でブラック企業に入社して苦労したけど「絶対にFIREしてやる！」と思えたのであれはあれでいい経験になりました笑 でもこう振り返られるのは僕がたまたま今幸せに暮らせてるからなので「苦労は買ってでもしろ」なんて言えないし、次世代の人たちのためにもブラック企業は全て消滅して欲しいです。","1.8万 ","438","108","2"
"in_july2018","@in_july2018","こぐま学生 @in_july2018 寝ても覚めても朝ドラが好き。推しはハル婆ちゃんとか竹村夫妻とか。いつかエキストラ出演したい。リプへのお返事はほとんどできません (ある日突然沼に沈み、勢いで作ったスト垢 @chiseeeeeeee )","今のばんばにできること、今のばんばにしかできないこと。単にジャム作りなど生活上のことを考えてしまってたけどジャムを食べた歩ちゃんがあんなに愛おしい顔になってそれを見て舞達も皆笑顔になってそんな風に皆を幸せな気持ちにすることも今のばんばにしかできないことだなと思うと深い #舞いあがれ","2977 ","934","224","4"
"emiry_oinari","@emiry_oinari","トレえみ@40kg痩せた人 @emiry_oinari 40kgの減量に成功した173cm|ダイエットレシピ書籍【トレえみDIET】https://amazon.co.jp/dp/4594090257","速攻ウエストくびれ作りたい人はこれ。ベリっと剥がしてペタっとつけるだけでくびれさらに強調、肋骨締めも可能は優秀。ベルトは公式web限定で無料プレゼントでついてくるやつ 公式web http://bit.ly/3hDLb4r","38.8万 ","991","55","4"
"MABP_matsuo","@MABP_matsuo","松尾 直樹 | MABP代表取締役副社長 @MABP_matsuo (株)M&Aベストパートナーズ 代表取締役副社長｜証券会社⇒M&A仲介会社⇒2018年にMABP設立｜5期目｜製造×建設×不動産×ヘルスケア業界に特化｜独立思考が強い人が集まる会社｜社員55名超え｜箱根駅伝に2度出場｜営業･仕事･起業･経営･M&Aなどを発信｜フォローすると、ビジネススキルが上がります","成功すれば自分のせい、失敗すれば他人のせい。これは良くない。成功した時は周りに感謝、失敗すれば自分を進め方を振り返る。成功は1人の力ではない。周りや環境に感謝しよう。失敗は更に重要。失敗の原因は大抵自分にある。周りの巻き込み方や物事の進め方。失敗をコツコツ学ぶことで成功に近づく。","1.5万 ","622","15","4"
"apollo_iss","@apollo_iss","アポロ @apollo_iss 後悔しない選択をするコツをつぶやいてます｜○億で上場企業に会社売却｜テクノロジー大好き｜健康志向｜うまくいってる人の考え方｜#避けたほうがいいカラダに悪影響の原材料は、①外国産の遺伝子組み換え小麦 ②植物油脂 ③イーストフード ④乳化剤。おすすめはセブンイレブンの「北海道産小麦の金の生食パン」フォローうれしいです。","コーヒー×トーストがモーニングルーティンの父に即共有。","2.5万 ","573","2","1"
"tokumaru_mabp","@tokumaru_mabp","徳丸 祐也｜MABP執行役員 @tokumaru_mabp M&Aベストパートナーズ 執行役員｜医療・ヘルスケア業界をメインに建設・不動産・物流関係のM&A支援｜SMBC日興証券（新卒）→M&Aキャピタルパートナーズ→MABP（現職）｜一生に一度の究極の経営判断を全力でサポート｜熊本県出身｜九州をもっと盛り上げていきたい｜ビジネスに関することなどをツイートします。","営業は課題発見力を身に付ける。お客様の「課題=悩み」ではなく、「理想と現実の差を生み出す原因」を発見する。いま抱えている悩みに対して、悩みを生み出す原因を発見。更に潜在的な悩みを追究することも営業マンに求められる。課題発見には「ヒアリング」「コミュニケーション」が必需スキルです。","252 ","546","22","2"
"gannbax","@gannbax","アツシ＠30代を自由に楽しく @gannbax 【誰かに話したくなるクスッと話やちょっとした雑学を発信】妻、娘、犬の4人家族の30代子育てパパ｜営業→制作会社→事業会社でWEBマーケに従事。副業スキル：web制作｜6:00にオリツイ発信中｜フォローすると『一緒にTwitterを楽しめ毎朝笑顔でスタート』ができます｜なにかあればお気軽にDMください","今だったらバズってるはず。「ぜいたくは敵だ！」と戦時中にあった有名な標語。その標語にらくがきをした人がいて、敵の前にスを入れ、『ぜいたくはス敵だ！』にしてしまったという。いたんですね、戦時中にもバンクシーみたいなシャレ者が。","2699 ","868","181","57"
"ByeByeKanrishok","@ByeByeKanrishok","とんかつ|ツイッター攻略の人 @ByeByeKanrishok 【Twitterでビジネスがつよくなる!？】|45才|宮城|マンガとイヌとネコ大好き|法人営業《2,000人中2位》｜店長《顧客満足2,400店舗中2位》|講師実績《1,000時間以上》|Twitter1年でフォロワー15,000人|月間240万インプ超|ディープなTwitter情報を発信中!!","超キケン！消えるアカウントの特徴！ズバリ『交流が少ない』このままじゃフェードアウトにリーチ状態…だから、私のリプ欄を利用して欲しい！頑張る仲間がモリモリいるし、めっちゃ優しい人が多いと思わない？つながってみんなで頑張ったら継続できると思う。さぁ【勇気を出してリプ】して見よう！↓↓","【Twitterでビジネスがつよくなる!？】|45才|宮城|マンガとイヌとネコ大好き|法人営業《2000人中2位》｜店長《顧客満足2400店舗中2位》|講師実績《1000時間以上》|Twitter1年で15000人|月間240万インプ超|ディープなTwitter情報を発信中!!","350","689","216"
"musume_tamago","@musume_tamago","一途くん沼らせろ @musume_tamago 男の本音を呟いてます。沼るくらいなら沼らせて溺れさせろ。男を溺愛させて沼化させる方法など発信。","なんでいつも絶対に叶わない ような恋ばっかしてるんだろ","2.5万 ","343","126","14"
"7iroin5zuka","@7iroin5zuka","なないろ @7iroin5zuka 星組礼真琴さん＆せおなこみほさんをお慕い申し上げる大人。無言フォローさせてください＆フォローもお気軽にまだあやふやで勉強中なので全てが周回遅れです合言葉は推しは推せる時に推せたまにドット作る＆縫い物するかも金神垢(自我) @7iroin5","応天の予習を始めました。BJれいこさんの「馬鹿が…(超絶呆れ(クソデカ溜息)」みたいな雰囲気が、根っこはめちゃ良い人なので結局放っておけず巻き込まれるところまで含めて、なんかれいこさんに合っててとても好きなんですけど、漫画読んだ感じそんな雰囲気がするのでとても楽しみ","232 ","236","1","0"
